--------------------
BDMEP - INMET
--------------------
Estação           : PADRE RICARDO REMETTER - MT (OMM: 83364)
Latitude  (graus) : -15.78
Longitude (graus) : -56.06
Altitude  (metros): 140.00
Estação Operante
Inicio de operação: 01/01/1986
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83364;01/01/1987;0000;34.8;;;;;
83364;01/01/1987;1200;;23.5;;;;
83364;02/01/1987;0000;33.8;;;;;
83364;02/01/1987;1200;;23.7;;;;
83364;03/01/1987;0000;33.2;;;;;
83364;03/01/1987;1200;;23.1;;;;
83364;04/01/1987;0000;36.4;;;;;
83364;04/01/1987;1200;;24.5;;;;
83364;05/01/1987;0000;33.8;;;;;
83364;05/01/1987;1200;;23;;;;
83364;06/01/1987;0000;35.3;;;;;
83364;06/01/1987;1200;;24.5;;;;
83364;07/01/1987;0000;35.3;;;;;
83364;07/01/1987;1200;;21.6;;;;
83364;08/01/1987;0000;33.8;;;;;
83364;08/01/1987;1200;;24.3;;;;
83364;09/01/1987;0000;34.3;;;;;
83364;09/01/1987;1200;;23.3;;;;
83364;10/01/1987;0000;35.3;;;;;
83364;10/01/1987;1200;;23.5;;;;
83364;12/01/1987;0000;33.3;;;;;
83364;12/01/1987;1200;;24.3;;;;
83364;13/01/1987;0000;32.8;;;;;
83364;13/01/1987;1200;;25.1;;;;
83364;14/01/1987;0000;35.3;;;;;
83364;14/01/1987;1200;;22.9;;;;
83364;15/01/1987;0000;32;;;;;
83364;15/01/1987;1200;;23;;;;
83364;16/01/1987;0000;31.8;;;;;
83364;16/01/1987;1200;;23.3;;;;
83364;17/01/1987;0000;34.8;;;;;
83364;17/01/1987;1200;;23;;;;
83364;18/01/1987;0000;30.7;;;;;
83364;18/01/1987;1200;;24.4;;;;
83364;19/01/1987;0000;32.1;;;;;
83364;19/01/1987;1200;;23.1;;;;
83364;21/01/1987;0000;28.3;;;;;
83364;21/01/1987;1200;;23.4;;;;
83364;22/01/1987;0000;30.3;;;;;
83364;22/01/1987;1200;;23.6;;;;
83364;23/01/1987;0000;31.9;;;;;
83364;23/01/1987;1200;;23.5;;;;
83364;24/01/1987;0000;29;;;;;
83364;24/01/1987;1200;;24;;;;
83364;26/01/1987;0000;30.3;;;;;
83364;26/01/1987;1200;;23;;;;
83364;28/01/1987;0000;26.3;;;;;
83364;28/01/1987;1200;;24.5;;;;
83364;29/01/1987;0000;26.8;;;;;
83364;29/01/1987;1200;;22.8;;;;
83364;30/01/1987;0000;28.8;;;;;
83364;30/01/1987;1200;;22.9;;;;
83364;31/01/1987;0000;32.8;;;;;
83364;31/01/1987;1200;;22.9;;;;
83364;01/02/1987;0000;30.3;;;;;
83364;01/02/1987;1200;;23.2;;;;
83364;03/02/1987;0000;30.7;;;;;
83364;03/02/1987;1200;;23.5;;;;
83364;04/02/1987;0000;33.8;;;;;
83364;04/02/1987;1200;;23.4;;;;
83364;05/02/1987;0000;32.8;;;;;
83364;05/02/1987;1200;;24.1;;;;
83364;06/02/1987;0000;34.3;;;;;
83364;06/02/1987;1200;;24.5;;;;
83364;07/02/1987;0000;32.8;;;;;
83364;07/02/1987;1200;;24.5;;;;
83364;08/02/1987;0000;32.3;;;;;
83364;08/02/1987;1200;;23.3;;;;
83364;10/02/1987;0000;27.8;;;;;
83364;10/02/1987;1200;;19.4;;;;
83364;11/02/1987;0000;32.9;;;;;
83364;11/02/1987;1200;;20.6;;;;
83364;12/02/1987;0000;34.5;;;;;
83364;12/02/1987;1200;;23;;;;
83364;13/02/1987;0000;32.1;;;;;
83364;13/02/1987;1200;;21.6;;;;
83364;14/02/1987;0000;32.6;;;;;
83364;14/02/1987;1200;;23.5;;;;
83364;15/02/1987;0000;29.7;;;;;
83364;15/02/1987;1200;;22;;;;
83364;17/02/1987;0000;31.8;;;;;
83364;17/02/1987;1200;;22.4;;;;
83364;18/02/1987;0000;32.8;;;;;
83364;18/02/1987;1200;;23.3;;;;
83364;19/02/1987;0000;29.6;;;;;
83364;19/02/1987;1200;;23;;;;
83364;20/02/1987;0000;31.7;;;;;
83364;20/02/1987;1200;;22.6;;;;
83364;21/02/1987;0000;33;;;;;
83364;21/02/1987;1200;;23.7;;;;
83364;22/02/1987;0000;31.1;;;;;
83364;22/02/1987;1200;;22.6;;;;
83364;23/02/1987;0000;34.9;;;;;
83364;23/02/1987;1200;;23;;;;
83364;24/02/1987;0000;35.7;;;;;
83364;24/02/1987;1200;;23;;;;
83364;25/02/1987;0000;33.8;;;;;
83364;25/02/1987;1200;;24.1;;;;
83364;26/02/1987;0000;32.1;;;;;
83364;26/02/1987;1200;;22.1;;;;
83364;27/02/1987;0000;33.6;;;;;
83364;27/02/1987;1200;;22;;;;
83364;28/02/1987;0000;31.1;;;;;
83364;28/02/1987;1200;;23.9;;;;
83364;01/03/1987;0000;32.8;;;;;
83364;01/03/1987;1200;;23.5;;;;
83364;03/03/1987;0000;31.6;;;;;
83364;03/03/1987;1200;;23.3;;;;
83364;04/03/1987;0000;32;;;;;
83364;04/03/1987;1200;;24.1;;;;
83364;05/03/1987;0000;31.8;;;;;
83364;05/03/1987;1200;;23.7;;;;
83364;07/03/1987;0000;31.4;;;;;
83364;07/03/1987;1200;;22.8;;;;
83364;08/03/1987;0000;30.3;;;;;
83364;08/03/1987;1200;;23.9;;;;
83364;09/03/1987;0000;30.8;;;;;
83364;09/03/1987;1200;;22.6;;;;
83364;10/03/1987;0000;23.8;;;;;
83364;10/03/1987;1200;;20.8;;;;
83364;11/03/1987;0000;25.3;;;;;
83364;11/03/1987;1200;;16.8;;;;
83364;12/03/1987;0000;26.3;;;;;
83364;12/03/1987;1200;;14;;;;
83364;13/03/1987;0000;29;;;;;
83364;13/03/1987;1200;;15.8;;;;
83364;14/03/1987;0000;31.3;;;;;
83364;14/03/1987;1200;;18.6;;;;
83364;15/03/1987;0000;32.9;;;;;
83364;15/03/1987;1200;;20.4;;;;
83364;17/03/1987;0000;32.6;;;;;
83364;17/03/1987;1200;;23.6;;;;
83364;18/03/1987;0000;33.3;;;;;
83364;18/03/1987;1200;;22.8;;;;
83364;19/03/1987;0000;33.3;;;;;
83364;19/03/1987;1200;;23.6;;;;
83364;20/03/1987;0000;33.1;;;;;
83364;20/03/1987;1200;;23.6;;;;
83364;21/03/1987;0000;32.2;;;;;
83364;21/03/1987;1200;;23;;;;
83364;22/03/1987;0000;32.9;;;;;
83364;22/03/1987;1200;;23;;;;
83364;23/03/1987;0000;33.8;;;;;
83364;23/03/1987;1200;;23;;;;
83364;26/03/1987;0000;33;;;;;
83364;26/03/1987;1200;;24.7;;;;
83364;27/03/1987;0000;33.8;;;;;
83364;27/03/1987;1200;;23.7;;;;
83364;28/03/1987;0000;34.4;;;;;
83364;28/03/1987;1200;;24.3;;;;
83364;29/03/1987;0000;31.3;;;;;
83364;29/03/1987;1200;;23.5;;;;
83364;30/03/1987;0000;34.8;;;;;
83364;30/03/1987;1200;;22.6;;;;
83364;31/03/1987;0000;33.3;;;;;
83364;31/03/1987;1200;;24.1;;;;
83364;02/04/1987;0000;28.3;;;;;
83364;02/04/1987;1200;;23.5;;;;
83364;03/04/1987;0000;29.8;;;;;
83364;03/04/1987;1200;;22.8;;;;
83364;04/04/1987;0000;29.8;;;;;
83364;04/04/1987;1200;;23;;;;
83364;05/04/1987;0000;32.9;;;;;
83364;05/04/1987;1200;;23.7;;;;
83364;06/04/1987;0000;32.8;;;;;
83364;06/04/1987;1200;;23.7;;;;
83364;07/04/1987;0000;32;;;;;
83364;07/04/1987;1200;;23.1;;;;
83364;08/04/1987;0000;33.8;;;;;
83364;08/04/1987;1200;;23.5;;;;
83364;09/04/1987;0000;34.8;;;;;
83364;09/04/1987;1200;;23.8;;;;
83364;10/04/1987;0000;34.3;;;;;
83364;10/04/1987;1200;;23.7;;;;
83364;12/04/1987;0000;35.8;;;;;
83364;12/04/1987;1200;;23.1;;;;
83364;13/04/1987;0000;35.3;;;;;
83364;13/04/1987;1200;;24;;;;
83364;14/04/1987;0000;35.1;;;;;
83364;14/04/1987;1200;;24.5;;;;
83364;15/04/1987;0000;35.4;;;;;
83364;15/04/1987;1200;;23.5;;;;
83364;16/04/1987;0000;36;;;;;
83364;16/04/1987;1200;;22.8;;;;
83364;17/04/1987;0000;35.3;;;;;
83364;17/04/1987;1200;;22.4;;;;
83364;18/04/1987;0000;34.7;;;;;
83364;18/04/1987;1200;;22.3;;;;
83364;19/04/1987;0000;27.9;;;;;
83364;19/04/1987;1200;;22.4;;;;
83364;20/04/1987;0000;32.8;;;;;
83364;20/04/1987;1200;;22.4;;;;
83364;21/04/1987;0000;33.3;;;;;
83364;21/04/1987;1200;;21.2;;;;
83364;22/04/1987;0000;33.8;;;;;
83364;22/04/1987;1200;;21.6;;;;
83364;24/04/1987;0000;34.3;;;;;
83364;24/04/1987;1200;;22.2;;;;
83364;25/04/1987;0000;35.3;;;;;
83364;25/04/1987;1200;;23;;;;
83364;26/04/1987;0000;30.3;;;;;
83364;26/04/1987;1200;;22.8;;;;
83364;27/04/1987;0000;32.4;;;;;
83364;27/04/1987;1200;;22.6;;;;
83364;28/04/1987;0000;28.1;;;;;
83364;28/04/1987;1200;;22.2;;;;
83364;30/04/1987;0000;33.7;;;;;
83364;30/04/1987;1200;;22.6;;;;
83364;02/05/1987;0000;29.6;;;;;
83364;02/05/1987;1200;;22.7;;;;
83364;03/05/1987;0000;28.4;;;;;
83364;03/05/1987;1200;;21.6;;;;
83364;05/05/1987;0000;33.8;;;;;
83364;05/05/1987;1200;;23.3;;;;
83364;06/05/1987;0000;34.8;;;;;
83364;06/05/1987;1200;;23.5;;;;
83364;07/05/1987;0000;34;;;;;
83364;07/05/1987;1200;;24.7;;;;
83364;08/05/1987;0000;33.3;;;;;
83364;08/05/1987;1200;;24.1;;;;
83364;10/05/1987;0000;24.8;;;;;
83364;10/05/1987;1200;;16.2;;;;
83364;11/05/1987;0000;32.4;;;;;
83364;11/05/1987;1200;;16.4;;;;
83364;13/05/1987;0000;34.3;;;;;
83364;13/05/1987;1200;;20;;;;
83364;14/05/1987;0000;33.5;;;;;
83364;14/05/1987;1200;;19.6;;;;
83364;15/05/1987;0000;33.4;;;;;
83364;15/05/1987;1200;;21.8;;;;
83364;16/05/1987;0000;30.3;;;;;
83364;16/05/1987;1200;;20.6;;;;
83364;17/05/1987;0000;34.8;;;;;
83364;17/05/1987;1200;;20.8;;;;
83364;19/05/1987;0000;34.3;;;;;
83364;19/05/1987;1200;;20.4;;;;
83364;20/05/1987;0000;34.3;;;;;
83364;20/05/1987;1200;;20.8;;;;
83364;21/05/1987;0000;31.8;;;;;
83364;21/05/1987;1200;;18.8;;;;
83364;22/05/1987;0000;23.3;;;;;
83364;22/05/1987;1200;;16.8;;;;
83364;23/05/1987;0000;28.3;;;;;
83364;23/05/1987;1200;;16.2;;;;
83364;25/05/1987;0000;22.6;;;;;
83364;25/05/1987;1200;;16;;;;
83364;29/05/1987;0000;30.9;;;;;
83364;29/05/1987;1200;;18.8;;;;
83364;30/05/1987;0000;34.1;;;;;
83364;30/05/1987;1200;;19.2;;;;
83364;31/05/1987;0000;33.9;;;;;
83364;31/05/1987;1200;;21.4;;;;
83364;01/06/1987;0000;32.3;;;;;
83364;01/06/1987;1200;;18.6;;;;
83364;02/06/1987;0000;33.3;;;;;
83364;02/06/1987;1200;;20.2;;;;
83364;05/06/1987;0000;34.3;;;;;
83364;05/06/1987;1200;;18.2;;;;
83364;06/06/1987;0000;26.3;;;;;
83364;06/06/1987;1200;;20;;;;
83364;07/06/1987;0000;26.7;;;;;
83364;07/06/1987;1200;;19.8;;;;
83364;08/06/1987;0000;28;;;;;
83364;08/06/1987;1200;;19.8;;;;
83364;11/06/1987;0000;33.5;;;;;
83364;11/06/1987;1200;;20;;;;
83364;12/06/1987;0000;32.5;;;;;
83364;12/06/1987;1200;;22.2;;;;
83364;13/06/1987;0000;32.7;;;;;
83364;13/06/1987;1200;;23.7;;;;
83364;15/06/1987;0000;19.4;;;;;
83364;15/06/1987;1200;;16.1;;;;
83364;16/06/1987;0000;18.6;;;;;
83364;16/06/1987;1200;;14;;;;
83364;17/06/1987;0000;25.3;;;;;
83364;17/06/1987;1200;;14.6;;;;
83364;18/06/1987;0000;27.8;;;;;
83364;18/06/1987;1200;;14.2;;;;
83364;19/06/1987;0000;30.6;;;;;
83364;19/06/1987;1200;;15.8;;;;
83364;20/06/1987;0000;32.3;;;;;
83364;20/06/1987;1200;;15.6;;;;
83364;24/06/1987;0000;22.6;;;;;
83364;24/06/1987;1200;;16;;;;
83364;25/06/1987;0000;25.3;;;;;
83364;25/06/1987;1200;;13.6;;;;
83364;28/06/1987;0000;32;;;;;
83364;28/06/1987;1200;;17.8;;;;
83364;29/06/1987;0000;33.3;;;;;
83364;29/06/1987;1200;;17.6;;;;
83364;01/07/1987;0000;33.3;;;;;
83364;01/07/1987;1200;;17.8;;;;
83364;02/07/1987;0000;33.8;;;;;
83364;02/07/1987;1200;;16.8;;;;
83364;03/07/1987;0000;34.3;;;;;
83364;03/07/1987;1200;;19.4;;;;
83364;04/07/1987;0000;34.3;;;;;
83364;04/07/1987;1200;;18.8;;;;
83364;05/07/1987;0000;31.6;;;;;
83364;05/07/1987;1200;;21.6;;;;
83364;06/07/1987;0000;34.3;;;;;
83364;06/07/1987;1200;;19.8;;;;
83364;07/07/1987;0000;34.3;;;;;
83364;07/07/1987;1200;;20;;;;
83364;09/07/1987;0000;35.8;;;;;
83364;09/07/1987;1200;;19.6;;;;
83364;10/07/1987;0000;35.8;;;;;
83364;10/07/1987;1200;;20.4;;;;
83364;11/07/1987;0000;35.8;;;;;
83364;11/07/1987;1200;;20.4;;;;
83364;12/07/1987;0000;35.3;;;;;
83364;12/07/1987;1200;;21.8;;;;
83364;13/07/1987;0000;35.5;;;;;
83364;13/07/1987;1200;;19;;;;
83364;14/07/1987;0000;35.8;;;;;
83364;14/07/1987;1200;;20;;;;
83364;15/07/1987;0000;35.8;;;;;
83364;15/07/1987;1200;;18.2;;;;
83364;16/07/1987;0000;35.8;;;;;
83364;16/07/1987;1200;;18.6;;;;
83364;17/07/1987;0000;35.7;;;;;
83364;17/07/1987;1200;;23.1;;;;
83364;20/07/1987;0000;21.3;;;;;
83364;20/07/1987;1200;;18;;;;
83364;21/07/1987;0000;28.1;;;;;
83364;21/07/1987;1200;;17.8;;;;
83364;23/07/1987;0000;33.8;;;;;
83364;23/07/1987;1200;;14.8;;;;
83364;24/07/1987;0000;35.6;;;;;
83364;24/07/1987;1200;;15.2;;;;
83364;26/07/1987;0000;36;;;;;
83364;26/07/1987;1200;;19.4;;;;
83364;27/07/1987;0000;36.3;;;;;
83364;27/07/1987;1200;;18.4;;;;
83364;28/07/1987;0000;35.1;;;;;
83364;28/07/1987;1200;;17.4;;;;
83364;29/07/1987;0000;34.6;;;;;
83364;29/07/1987;1200;;19;;;;
83364;30/07/1987;0000;23.8;;;;;
83364;30/07/1987;1200;;16.1;;;;
83364;31/07/1987;0000;23.3;;;;;
83364;31/07/1987;1200;;10.3;;;;
83364;02/08/1987;0000;32.8;;;;;
83364;02/08/1987;1200;;9.7;;;;
83364;03/08/1987;0000;34;;;;;
83364;03/08/1987;1200;;13.1;;;;
83364;04/08/1987;0000;35.8;;;;;
83364;04/08/1987;1200;;14.6;;;;
83364;07/08/1987;0000;20.1;;;;;
83364;07/08/1987;1200;;10.3;;;;
83364;08/08/1987;0000;29.2;;;;;
83364;08/08/1987;1200;;9.2;;;;
83364;10/08/1987;0000;36.2;;;;;
83364;10/08/1987;1200;;17.4;;;;
83364;11/08/1987;0000;36.4;;;;;
83364;11/08/1987;1200;;20.8;;;;
83364;12/08/1987;0000;37.5;;;;;
83364;12/08/1987;1200;;20.6;;;;
83364;13/08/1987;0000;37.1;;;;;
83364;13/08/1987;1200;;23;;;;
83364;14/08/1987;0000;36.8;;;;;
83364;14/08/1987;1200;;25.5;;;;
83364;15/08/1987;0000;35.9;;;;;
83364;15/08/1987;1200;;24.7;;;;
83364;16/08/1987;0000;36.7;;;;;
83364;16/08/1987;1200;;23.9;;;;
83364;18/08/1987;0000;24.3;;;;;
83364;18/08/1987;1200;;15;;;;
83364;19/08/1987;0000;27.1;;;;;
83364;19/08/1987;1200;;13.2;;;;
83364;20/08/1987;0000;25.2;;;;;
83364;20/08/1987;1200;;12.5;;;;
83364;21/08/1987;0000;25.8;;;;;
83364;21/08/1987;1200;;10.6;;;;
83364;22/08/1987;0000;30.8;;;;;
83364;22/08/1987;1200;;11.7;;;;
83364;23/08/1987;0000;35.3;;;;;
83364;23/08/1987;1200;;13.4;;;;
83364;24/08/1987;0000;38.4;;;;;
83364;24/08/1987;1200;;16.8;;;;
83364;26/08/1987;0000;37;;;;;
83364;26/08/1987;1200;;22.3;;;;
83364;28/08/1987;0000;39;;;;;
83364;28/08/1987;1200;;22.8;;;;
83364;29/08/1987;0000;38.4;;;;;
83364;29/08/1987;1200;;20.3;;;;
83364;31/08/1987;0000;25.1;;;;;
83364;31/08/1987;1200;;16.6;;;;
83364;01/09/1987;0000;35.3;;;;;
83364;01/09/1987;1200;;14.4;;;;
83364;04/09/1987;0000;30.5;;;;;
83364;04/09/1987;1200;;14;;;;
83364;05/09/1987;0000;34.8;;;;;
83364;05/09/1987;1200;;16.9;;;;
83364;08/09/1987;0000;37;;;;;
83364;08/09/1987;1200;;22.6;;;;
83364;09/09/1987;0000;38.6;;;;;
83364;09/09/1987;1200;;23.1;;;;
83364;12/09/1987;0000;27.8;;;;;
83364;12/09/1987;1200;;18.5;;;;
83364;13/09/1987;0000;35.6;;;;;
83364;13/09/1987;1200;;17.8;;;;
83364;15/09/1987;0000;38.4;;;;;
83364;15/09/1987;1200;;25.1;;;;
83364;16/09/1987;0000;31.5;;;;;
83364;16/09/1987;1200;;23.7;;;;
83364;17/09/1987;0000;31.6;;;;;
83364;17/09/1987;1200;;19.8;;;;
83364;19/09/1987;0000;34.3;;;;;
83364;19/09/1987;1200;;23;;;;
83364;20/09/1987;0000;36;;;;;
83364;20/09/1987;1200;;19.6;;;;
83364;21/09/1987;0000;31;;;;;
83364;21/09/1987;1200;;22.2;;;;
83364;22/09/1987;0000;33.5;;;;;
83364;22/09/1987;1200;;21.8;;;;
83364;23/09/1987;0000;34.3;;;;;
83364;23/09/1987;1200;;21.6;;;;
83364;24/09/1987;0000;32;;;;;
83364;24/09/1987;1200;;18.6;;;;
83364;25/09/1987;0000;35.6;;;;;
83364;25/09/1987;1200;;15.9;;;;
83364;26/09/1987;0000;37.6;;;;;
83364;26/09/1987;1200;;18.4;;;;
83364;27/09/1987;0000;38.9;;;;;
83364;27/09/1987;1200;;25.1;;;;
83364;28/09/1987;0000;34.3;;;;;
83364;28/09/1987;1200;;24.1;;;;
83364;30/09/1987;0000;39.3;;;;;
83364;30/09/1987;1200;;25.7;;;;
83364;01/10/1987;0000;36.4;;;;;
83364;01/10/1987;1200;;22.8;;;;
83364;03/10/1987;0000;35.6;;;;;
83364;03/10/1987;1200;;17;;;;
83364;05/10/1987;0000;34.4;;;;;
83364;05/10/1987;1200;;25.5;;;;
83364;06/10/1987;0000;37.1;;;;;
83364;06/10/1987;1200;;21.8;;;;
83364;07/10/1987;0000;30.3;;;;;
83364;07/10/1987;1200;;23.8;;;;
83364;08/10/1987;0000;38.9;;;;;
83364;08/10/1987;1200;;22;;;;
83364;09/10/1987;0000;36.8;;;;;
83364;09/10/1987;1200;;23.7;;;;
83364;10/10/1987;0000;37.8;;;;;
83364;10/10/1987;1200;;24.3;;;;
83364;13/10/1987;0000;37.8;;;;;
83364;13/10/1987;1200;;26.8;;;;
83364;14/10/1987;0000;37.3;;;;;
83364;14/10/1987;1200;;24.5;;;;
83364;15/10/1987;0000;37.9;;;;;
83364;15/10/1987;1200;;25.4;;;;
83364;16/10/1987;0000;33.8;;;;;
83364;16/10/1987;1200;;26.3;;;;
83364;17/10/1987;0000;37.8;;;;;
83364;17/10/1987;1200;;23.9;;;;
83364;18/10/1987;0000;38.1;;;;;
83364;18/10/1987;1200;;24.9;;;;
83364;19/10/1987;0000;35.9;;;;;
83364;19/10/1987;1200;;26.5;;;;
83364;20/10/1987;0000;32.1;;;;;
83364;20/10/1987;1200;;24.3;;;;
83364;21/10/1987;0000;37.6;;;;;
83364;21/10/1987;1200;;22.4;;;;
83364;22/10/1987;0000;34.2;;;;;
83364;22/10/1987;1200;;22.4;;;;
83364;23/10/1987;0000;34.7;;;;;
83364;23/10/1987;1200;;21.6;;;;
83364;24/10/1987;0000;33.2;;;;;
83364;24/10/1987;1200;;22.7;;;;
83364;25/10/1987;0000;34.4;;;;;
83364;25/10/1987;1200;;22.6;;;;
83364;26/10/1987;0000;31.3;;;;;
83364;26/10/1987;1200;;21.8;;;;
83364;27/10/1987;0000;32.9;;;;;
83364;27/10/1987;1200;;24.5;;;;
83364;28/10/1987;0000;33.8;;;;;
83364;28/10/1987;1200;;24.3;;;;
83364;29/10/1987;0000;34.8;;;;;
83364;29/10/1987;1200;;24.3;;;;
83364;30/10/1987;0000;34.1;;;;;
83364;30/10/1987;1200;;24.1;;;;
83364;31/10/1987;0000;35.3;;;;;
83364;31/10/1987;1200;;22.6;;;;
83364;01/11/1987;0000;29.8;;;;;
83364;01/11/1987;1200;;20.3;;;;
83364;03/11/1987;0000;35.8;;;;;
83364;03/11/1987;1200;;23.1;;;;
83364;04/11/1987;0000;37.2;;;;;
83364;04/11/1987;1200;;24.3;;;;
83364;05/11/1987;0000;35;;;;;
83364;05/11/1987;1200;;24.5;;;;
83364;06/11/1987;0000;29.6;;;;;
83364;06/11/1987;1200;;24.6;;;;
83364;07/11/1987;0000;34.7;;;;;
83364;07/11/1987;1200;;25.8;;;;
83364;08/11/1987;0000;34.5;;;;;
83364;08/11/1987;1200;;23.6;;;;
83364;10/11/1987;0000;32;;;;;
83364;10/11/1987;1200;;23;;;;
83364;12/11/1987;0000;33.8;;;;;
83364;12/11/1987;1200;;24.1;;;;
83364;13/11/1987;0000;28.8;;;;;
83364;13/11/1987;1200;;24.1;;;;
83364;14/11/1987;0000;30.8;;;;;
83364;14/11/1987;1200;;24.5;;;;
83364;15/11/1987;0000;30.3;;;;;
83364;15/11/1987;1200;;23.7;;;;
83364;16/11/1987;0000;31.5;;;;;
83364;16/11/1987;1200;;23.1;;;;
83364;17/11/1987;0000;34.5;;;;;
83364;17/11/1987;1200;;23.5;;;;
83364;18/11/1987;0000;32.4;;;;;
83364;18/11/1987;1200;;25.1;;;;
83364;19/11/1987;0000;34.3;;;;;
83364;19/11/1987;1200;;22.1;;;;
83364;20/11/1987;0000;34;;;;;
83364;20/11/1987;1200;;22.6;;;;
83364;21/11/1987;0000;34.6;;;;;
83364;21/11/1987;1200;;23.1;;;;
83364;22/11/1987;0000;35.5;;;;;
83364;22/11/1987;1200;;24.1;;;;
83364;23/11/1987;0000;34.2;;;;;
83364;23/11/1987;1200;;24.7;;;;
83364;24/11/1987;0000;35.1;;;;;
83364;24/11/1987;1200;;26.5;;;;
83364;25/11/1987;0000;32;;;;;
83364;25/11/1987;1200;;24;;;;
83364;26/11/1987;0000;32;;;;;
83364;26/11/1987;1200;;23.4;;;;
83364;27/11/1987;0000;31.4;;;;;
83364;27/11/1987;1200;;23.7;;;;
83364;28/11/1987;0000;30.8;;;;;
83364;28/11/1987;1200;;23.9;;;;
83364;29/11/1987;0000;32.3;;;;;
83364;29/11/1987;1200;;23.7;;;;
83364;30/11/1987;0000;34.5;;;;;
83364;30/11/1987;1200;;23.7;;;;
83364;01/12/1987;0000;32.3;;;;;
83364;01/12/1987;1200;;23.8;;;;
83364;02/12/1987;0000;28.9;;;;;
83364;02/12/1987;1200;;23;;;;
83364;03/12/1987;0000;29.9;;;;;
83364;03/12/1987;1200;;23.5;;;;
83364;04/12/1987;0000;31.3;;;;;
83364;04/12/1987;1200;;23.4;;;;
83364;05/12/1987;0000;30.6;;;;;
83364;05/12/1987;1200;;22.8;;;;
83364;07/12/1987;0000;31.8;;;;;
83364;07/12/1987;1200;;22.8;;;;
83364;08/12/1987;0000;34;;;;;
83364;08/12/1987;1200;;24.6;;;;
83364;09/12/1987;0000;35.8;;;;;
83364;09/12/1987;1200;;23.2;;;;
83364;10/12/1987;0000;30.8;;;;;
83364;10/12/1987;1200;;23.1;;;;
83364;11/12/1987;0000;34.3;;;;;
83364;11/12/1987;1200;;23.3;;;;
83364;12/12/1987;0000;30.8;;;;;
83364;12/12/1987;1200;;23.9;;;;
83364;13/12/1987;0000;30.5;;;;;
83364;13/12/1987;1200;;23.8;;;;
83364;14/12/1987;0000;32;;;;;
83364;14/12/1987;1200;;24.2;;;;
83364;15/12/1987;0000;30.6;;;;;
83364;15/12/1987;1200;;24.2;;;;
83364;16/12/1987;0000;31.5;;;;;
83364;16/12/1987;1200;;23.7;;;;
83364;17/12/1987;0000;31.5;;;;;
83364;17/12/1987;1200;;23.5;;;;
83364;18/12/1987;0000;31.2;;;;;
83364;18/12/1987;1200;;23.3;;;;
83364;19/12/1987;0000;29.8;;;;;
83364;19/12/1987;1200;;23.3;;;;
83364;20/12/1987;0000;31.3;;;;;
83364;20/12/1987;1200;;23.7;;;;
83364;21/12/1987;0000;26.7;;;;;
83364;21/12/1987;1200;;22.2;;;;
83364;22/12/1987;0000;31.8;;;;;
83364;22/12/1987;1200;;22.4;;;;
83364;24/12/1987;0000;36.3;;;;;
83364;24/12/1987;1200;;24.9;;;;
83364;25/12/1987;0000;32.9;;;;;
83364;25/12/1987;1200;;24.8;;;;
83364;26/12/1987;0000;34.2;;;;;
83364;26/12/1987;1200;;23.8;;;;
83364;27/12/1987;0000;30.5;;;;;
83364;27/12/1987;1200;;23.2;;;;
83364;28/12/1987;0000;32.1;;;;;
83364;28/12/1987;1200;;23.1;;;;
83364;29/12/1987;0000;32.5;;;;;
83364;29/12/1987;1200;;23.4;;;;
83364;30/12/1987;0000;34.5;;;;;
83364;30/12/1987;1200;;24.9;;;;
83364;31/12/1987;0000;33.5;;;;;
83364;31/12/1987;1200;;24.5;;;;
83364;01/01/1988;0000;33.8;;;;;
83364;01/01/1988;1200;;25.1;;;;
83364;02/01/1988;0000;32.3;;;;;
83364;02/01/1988;1200;;25.1;;;;
83364;04/01/1988;0000;31.7;;;;;
83364;04/01/1988;1200;;24.4;;;;
83364;05/01/1988;0000;26.3;;;;;
83364;05/01/1988;1200;;23.2;;;;
83364;06/01/1988;0000;27.4;;;;;
83364;06/01/1988;1200;;22.4;;;;
83364;08/01/1988;0000;29.5;;;;;
83364;08/01/1988;1200;;23;;;;
83364;09/01/1988;0000;31.7;;;;;
83364;09/01/1988;1200;;20.8;;;;
83364;10/01/1988;0000;31.2;;;;;
83364;10/01/1988;1200;;20.9;;;;
83364;11/01/1988;0000;29.9;;;;;
83364;11/01/1988;1200;;23.6;;;;
83364;12/01/1988;0000;31.3;;;;;
83364;12/01/1988;1200;;24.5;;;;
83364;13/01/1988;0000;32.1;;;;;
83364;13/01/1988;1200;;24.3;;;;
83364;14/01/1988;0000;32;;;;;
83364;14/01/1988;1200;;24;;;;
83364;15/01/1988;0000;33.6;;;;;
83364;15/01/1988;1200;;23.8;;;;
83364;16/01/1988;0000;34.5;;;;;
83364;16/01/1988;1200;;24.5;;;;
83364;17/01/1988;0000;34.8;;;;;
83364;17/01/1988;1200;;23.5;;;;
