--------------------
BDMEP - INMET
--------------------
Estação           : JATAI - GO (OMM: 83464)
Latitude  (graus) : -17.91
Longitude (graus) : -51.71
Altitude  (metros): 662.86
Estação Operante
Inicio de operação: 24/11/1978
Periodo solicitado dos dados: 01/01/1961 a 15/05/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções <http://www.inmet.gov.br/projetos/rede/pesquisa/instrucao.html>
--------------------
Estacao;Data;Hora;TempMaxima;TempMinima;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83464;24/11/1978;0000;29;;24.06;86.75;;
83464;24/11/1978;1200;;21.5;;;;
83464;25/11/1978;0000;31.2;;23.66;81.75;;
83464;25/11/1978;1200;;18.3;;;;
83464;26/11/1978;0000;30.2;;24.42;73.25;;
83464;26/11/1978;1200;;19.5;;;;
83464;27/11/1978;0000;27.9;;23.32;81.5;;
83464;27/11/1978;1200;;20.5;;;;
83464;28/11/1978;0000;25;;21.74;89.25;;
83464;28/11/1978;1200;;19.5;;;;
83464;29/11/1978;0000;30.2;;23.94;77;;
83464;29/11/1978;1200;;18.5;;;;
83464;30/11/1978;0000;29.6;;23.1;76.75;;
83464;30/11/1978;1200;;18.5;;;;
83464;01/12/1978;0000;29.4;;23.82;61.5;;
83464;01/12/1978;1200;;18.5;;;;
83464;02/12/1978;0000;28;;22.38;79.25;;
83464;02/12/1978;1200;;16.5;;;;
83464;03/12/1978;0000;28.8;;22.24;81;;
83464;03/12/1978;1200;;16.8;;;;
83464;04/12/1978;0000;30.5;;24.14;70.75;;
83464;04/12/1978;1200;;18.3;;;;
83464;05/12/1978;0000;28;;23.12;75.5;;
83464;05/12/1978;1200;;18.6;;;;
83464;06/12/1978;0000;30.6;;24.12;73;;
83464;06/12/1978;1200;;19.6;;;;
83464;07/12/1978;0000;28.2;;23.9;83;;
83464;07/12/1978;1200;;21.1;;;;
83464;08/12/1978;0000;27;;23.3;81.75;;
83464;08/12/1978;1200;;21.1;;;;
83464;09/12/1978;0000;28.4;;22.88;84.5;;
83464;09/12/1978;1200;;20;;;;
83464;10/12/1978;0000;29.2;;23.18;82.75;;
83464;10/12/1978;1200;;19.5;;;;
83464;11/12/1978;0000;26.6;;19;87.25;;
83464;12/12/1978;0000;25.2;;21.96;88.75;;
83464;12/12/1978;1200;;20;;;;
83464;13/12/1978;0000;28.6;;23.64;75.25;;
83464;13/12/1978;1200;;20;;;;
83464;14/12/1978;0000;32.2;;24.92;73.25;;
83464;14/12/1978;1200;;20;;;;
83464;15/12/1978;0000;29.8;;23.36;81.75;;
83464;15/12/1978;1200;;20.2;;;;
83464;16/12/1978;0000;30.2;;23.78;82.5;;
83464;16/12/1978;1200;;20.5;;;;
83464;17/12/1978;0000;29.6;;24.8;81;;
83464;17/12/1978;1200;;21;;;;
83464;18/12/1978;0000;;;;68.75;;
83464;18/12/1978;1200;;20;;;;
83464;19/12/1978;0000;;;;62.75;;
83464;19/12/1978;1200;;22;;;;
83464;20/12/1978;0000;;;;64;;
83464;20/12/1978;1200;;16;;;;
83464;21/12/1978;0000;;;;82;;
83464;21/12/1978;1200;;18;;;;
83464;22/12/1978;0000;;;;82;;
83464;22/12/1978;1200;;18;;;;
83464;23/12/1978;0000;;;;73.25;;
83464;23/12/1978;1200;;19;;;;
83464;24/12/1978;0000;;;;78;;
83464;24/12/1978;1200;;19.5;;;;
83464;25/12/1978;0000;;;;73.75;;
83464;26/12/1978;0000;;;;76;;
83464;26/12/1978;1200;;21.5;;;;
83464;27/12/1978;0000;;;;93;;
83464;27/12/1978;1200;;18.5;;;;
83464;28/12/1978;0000;;;;82.75;;
83464;28/12/1978;1200;;20;;;;
83464;29/12/1978;0000;;;;87;;
83464;29/12/1978;1200;;18.5;;;;
83464;30/12/1978;0000;;;;70.5;;
83464;30/12/1978;1200;;21.4;;;;
83464;31/12/1978;0000;;;;75;;
83464;31/12/1978;1200;;19;;;;
83464;01/01/1979;0000;;;;80.5;;
83464;01/01/1979;1200;;20.5;;;;
83464;02/01/1979;1200;;20;;;;
83464;03/01/1979;1200;;19;;;;
83464;04/01/1979;1200;;20;;;;
83464;05/01/1979;1200;;20;;;;
83464;06/01/1979;1200;;19;;;;
83464;07/01/1979;1200;;20;;;;
83464;09/01/1979;1200;;18.5;;;;
83464;10/01/1979;1200;;20.3;;;;
83464;11/01/1979;1200;;20;;;;
83464;12/01/1979;1200;;20;;;;
83464;13/01/1979;1200;;20;;;;
83464;14/01/1979;1200;;21;;;;
83464;15/01/1979;1200;;21;;;;
83464;16/01/1979;1200;;19.5;;;;
83464;17/01/1979;1200;;20.5;;;;
83464;18/01/1979;1200;;20.5;;;;
83464;19/01/1979;1200;;19;;;;
83464;20/01/1979;1200;;19;;;;
83464;21/01/1979;1200;;20.5;;;;
83464;22/01/1979;1200;;20.5;;;;
83464;23/01/1979;1200;;20;;;;
83464;24/01/1979;1200;;20.2;;;;
83464;25/01/1979;1200;;22;;;;
83464;26/01/1979;1200;;20;;;;
83464;27/01/1979;1200;;21;;;;
83464;28/01/1979;1200;;21;;;;
83464;29/01/1979;1200;;20.4;;;;
83464;30/01/1979;1200;;20;;;;
83464;31/01/1979;1200;;20.3;;;;
83464;01/02/1979;1200;;20.5;;;;
83464;02/02/1979;1200;;19.5;;;;
83464;03/02/1979;1200;;19.8;;;;
83464;04/02/1979;1200;;18.5;;;;
83464;05/02/1979;0000;31.5;;24;78.25;;
83464;05/02/1979;1200;;19.5;;;;
83464;06/02/1979;0000;30.7;;24.18;78.5;;
83464;06/02/1979;1200;;19;;;;
83464;07/02/1979;0000;30.7;;24.76;80.75;;
83464;07/02/1979;1200;;20.4;;;;
83464;09/02/1979;0000;28.5;;24.86;72.5;;
83464;09/02/1979;1200;;20;;;;
83464;11/02/1979;0000;29.5;;23.06;80.5;;
83464;11/02/1979;1200;;19;;;;
83464;12/02/1979;0000;30.7;;24.06;72.25;;
83464;12/02/1979;1200;;17.6;;;;
83464;13/02/1979;0000;31.9;;23.88;79.25;;
83464;13/02/1979;1200;;20.5;;;;
83464;14/02/1979;0000;31.9;;24.22;82.75;;
83464;14/02/1979;1200;;21;;;;
83464;16/02/1979;0000;28.3;;22.52;86.5;;
83464;16/02/1979;1200;;19.5;;;;
83464;17/02/1979;0000;27.9;;23.42;83.5;;
83464;17/02/1979;1200;;20;;;;
83464;18/02/1979;0000;29.9;;24.8;80.75;;
83464;18/02/1979;1200;;21.5;;;;
83464;19/02/1979;0000;30.9;;24.68;70;;
83464;19/02/1979;1200;;18.5;;;;
83464;21/02/1979;0000;31.3;;23.94;79.5;;
83464;21/02/1979;1200;;18;;;;
83464;22/02/1979;0000;30.9;;23.34;79;;
83464;22/02/1979;1200;;18;;;;
83464;23/02/1979;0000;27.5;;23;89.5;;
83464;23/02/1979;1200;;20.5;;;;
83464;24/02/1979;0000;27.3;;22.04;90;;
83464;24/02/1979;1200;;19;;;;
83464;25/02/1979;0000;30.9;;24.48;70;;
83464;25/02/1979;1200;;19.5;;;;
83464;28/02/1979;0000;31.3;;24.16;71.5;;
83464;28/02/1979;1200;;16.5;;;;
83464;01/03/1979;0000;32.1;;24.56;72.5;;
83464;01/03/1979;1200;;18.5;;;;
83464;02/03/1979;0000;32.5;;24.54;66.5;;
83464;02/03/1979;1200;;18;;;;
83464;03/03/1979;0000;30.7;;23.46;86.75;;
83464;03/03/1979;1200;;20;;;;
83464;04/03/1979;0000;29.3;;22.28;90.25;;
83464;04/03/1979;1200;;19.5;;;;
83464;05/03/1979;0000;31.4;;24.02;73.5;;
83464;05/03/1979;1200;;18.5;;;;
83464;06/03/1979;0000;32.3;;23.88;78.25;;
83464;06/03/1979;1200;;18.5;;;;
83464;08/03/1979;0000;30.3;;23.68;81.25;;
83464;08/03/1979;1200;;19.5;;;;
83464;10/03/1979;0000;30.7;;25;81;;
83464;10/03/1979;1200;;20.5;;;;
83464;11/03/1979;0000;29.9;;24.02;88.25;;
83464;11/03/1979;1200;;20.2;;;;
83464;13/03/1979;0000;29.1;;23.36;89.75;;
83464;13/03/1979;1200;;19.5;;;;
83464;14/03/1979;0000;26.9;;22.6;92;;
83464;14/03/1979;1200;;20.5;;;;
83464;17/03/1979;0000;27.8;;23.82;84.75;;
83464;17/03/1979;1200;;21.5;;;;
83464;18/03/1979;0000;30.5;;24.28;89.5;;
83464;18/03/1979;1200;;21.5;;;;
83464;19/03/1979;0000;31.3;;24.62;75.75;;
83464;19/03/1979;1200;;19;;;;
83464;20/03/1979;0000;30.9;;23.66;78.75;;
83464;20/03/1979;1200;;19;;;;
83464;21/03/1979;0000;30.3;;23.34;80;;
83464;21/03/1979;1200;;18.5;;;;
83464;22/03/1979;0000;31.7;;23.78;73;;
83464;22/03/1979;1200;;17;;;;
83464;23/03/1979;0000;31.5;;24.36;73.5;;
83464;23/03/1979;1200;;19.5;;;;
83464;24/03/1979;0000;27.8;;23.04;79.75;;
83464;24/03/1979;1200;;20;;;;
83464;25/03/1979;0000;27.7;;23.04;80.25;;
83464;25/03/1979;1200;;19.5;;;;
83464;26/03/1979;0000;30;;22.72;78;;
83464;26/03/1979;1200;;19;;;;
83464;27/03/1979;0000;28.9;;20.2;68.25;;
83464;27/03/1979;1200;;14.5;;;;
83464;30/03/1979;0000;29.9;;23.18;72;;
83464;30/03/1979;1200;;18;;;;
83464;02/04/1979;0000;30.7;;24.04;74;;
83464;02/04/1979;1200;;20.5;;;;
83464;03/04/1979;0000;30.9;;24.7;;;
83464;03/04/1979;1200;;21;;;;
83464;11/04/1979;0000;30.3;;23.02;77;;
83464;11/04/1979;1200;;17;;;;
83464;13/04/1979;0000;30.7;;22.16;71.75;;
83464;13/04/1979;1200;;15.5;;;;
83464;14/04/1979;0000;28.9;;21.8;82.5;;
83464;14/04/1979;1200;;17.3;;;;
83464;15/04/1979;0000;31.1;;23.24;67.5;;
83464;15/04/1979;1200;;16.5;;;;
83464;16/04/1979;0000;30.5;;22.48;73;;
83464;16/04/1979;1200;;16.5;;;;
83464;17/04/1979;0000;30.3;;22.28;73.5;;
83464;17/04/1979;1200;;15.5;;;;
83464;18/04/1979;0000;30.5;;23.08;73.25;;
83464;18/04/1979;1200;;19.5;;;;
83464;19/04/1979;0000;31.1;;22.78;76.25;;
83464;19/04/1979;1200;;17.2;;;;
83464;20/04/1979;0000;30.3;;22.42;78;;
83464;20/04/1979;1200;;16;;;;
83464;21/04/1979;0000;29.4;;22.28;78.75;;
83464;21/04/1979;1200;;17;;;;
83464;22/04/1979;0000;28.9;;22.1;85.5;;
83464;22/04/1979;1200;;18.1;;;;
83464;28/04/1979;0000;29.7;;20.06;70.25;;
83464;28/04/1979;1200;;12.5;;;;
83464;29/04/1979;0000;30.8;;21.2;68.25;;
83464;29/04/1979;1200;;13;;;;
83464;30/04/1979;0000;26.9;;20.52;;;
83464;30/04/1979;1200;;16.5;;;;
83464;02/05/1979;0000;31.3;;22.64;76;;
83464;02/05/1979;1200;;15.1;;;;
83464;03/05/1979;0000;32.5;;22.98;;;
83464;03/05/1979;1200;;15.7;;;;
83464;04/05/1979;0000;29.5;;22.62;84.5;;
83464;04/05/1979;1200;;18;;;;
83464;05/05/1979;0000;29.7;;21.82;77.5;;
83464;05/05/1979;1200;;16.4;;;;
83464;06/05/1979;0000;29.5;;22.24;89.75;;
83464;06/05/1979;1200;;18;;;;
83464;07/05/1979;0000;30.7;;22.44;83.75;;
83464;07/05/1979;1200;;17.5;;;;
83464;09/05/1979;0000;29;;21.58;79.75;;
83464;09/05/1979;1200;;15.5;;;;
83464;10/05/1979;0000;29.3;;21.92;82;;
83464;10/05/1979;1200;;16.5;;;;
83464;12/05/1979;0000;30.3;;19.62;71;;
83464;12/05/1979;1200;;12.8;;;;
83464;13/05/1979;0000;30.1;;20.06;66.75;;
83464;13/05/1979;1200;;12.6;;;;
83464;14/05/1979;0000;29.9;;20.18;68;;
83464;14/05/1979;1200;;12.6;;;;
83464;15/05/1979;0000;29.1;;19.7;69.75;;
83464;15/05/1979;1200;;12.6;;;;
83464;16/05/1979;0000;30.1;;19.36;72;;
83464;16/05/1979;1200;;12.1;;;;
83464;19/05/1979;0000;30.1;;20.52;65.25;;
83464;19/05/1979;1200;;13.1;;;;
83464;21/05/1979;0000;29;;19.46;70;;
83464;21/05/1979;1200;;15.1;;;;
83464;24/05/1979;0000;21.8;;15.76;79.25;;
83464;24/05/1979;1200;;13.6;;;;
83464;26/05/1979;0000;28.9;;19.2;78.75;;
83464;26/05/1979;1200;;11.5;;;;
83464;27/05/1979;0000;26;;18.38;76.25;;
83464;27/05/1979;1200;;13.1;;;;
83464;02/06/1979;0000;29.5;;14.26;64.5;;
83464;02/06/1979;1200;;0.6;;;;
83464;03/06/1979;0000;29.3;;18.48;61.5;;
83464;03/06/1979;1200;;8.7;;;;
83464;04/06/1979;0000;30.1;;18.5;69.75;;
83464;04/06/1979;1200;;9.2;;;;
83464;05/06/1979;0000;30.1;;19;66.75;;
83464;05/06/1979;1200;;12.1;;;;
83464;06/06/1979;0000;29.9;;18.3;65;;
83464;06/06/1979;1200;;10.6;;;;
83464;07/06/1979;0000;28.5;;17.74;64.25;;
83464;07/06/1979;1200;;10.6;;;;
83464;08/06/1979;0000;28.3;;18.24;59.25;;
83464;08/06/1979;1200;;12.1;;;;
83464;09/06/1979;0000;27.3;;16.14;67.75;;
83464;09/06/1979;1200;;8.2;;;;
83464;10/06/1979;0000;28.5;;17.02;65;;
83464;10/06/1979;1200;;9.2;;;;
83464;11/06/1979;0000;29.9;;17.08;63;;
83464;11/06/1979;1200;;7.7;;;;
83464;12/06/1979;0000;30.1;;18.5;66;;
83464;12/06/1979;1200;;10.6;;;;
83464;13/06/1979;0000;28.9;;19.24;57.25;;
83464;13/06/1979;1200;;11.1;;;;
83464;14/06/1979;0000;25.7;;19.12;77.5;;
83464;14/06/1979;1200;;13.1;;;;
83464;15/06/1979;0000;25.9;;18.12;75.5;;
83464;15/06/1979;1200;;15.1;;;;
83464;16/06/1979;0000;28.4;;17.1;71.5;;
83464;16/06/1979;1200;;10.1;;;;
83464;17/06/1979;0000;28;;17.58;69;;
83464;17/06/1979;1200;;10.6;;;;
83464;18/06/1979;0000;27.3;;16.38;71.5;;
83464;18/06/1979;1200;;9.2;;;;
83464;19/06/1979;0000;28.8;;17.08;63.75;;
83464;19/06/1979;1200;;8.2;;;;
83464;20/06/1979;0000;29.5;;18.46;61;;
83464;20/06/1979;1200;;9.8;;;;
83464;21/06/1979;0000;28.5;;16.4;63.75;;
83464;21/06/1979;1200;;8.2;;;;
83464;22/06/1979;0000;28.6;;18.38;50;;
83464;22/06/1979;1200;;8.9;;;;
83464;23/06/1979;0000;28.5;;18.58;60.5;;
83464;23/06/1979;1200;;9.4;;;;
83464;24/06/1979;0000;28.4;;17.14;70.5;;
83464;24/06/1979;1200;;10.1;;;;
83464;25/06/1979;0000;29;;18.86;60.75;;
83464;25/06/1979;1200;;10.1;;;;
83464;26/06/1979;0000;28.9;;19.04;55.25;;
83464;26/06/1979;1200;;9.7;;;;
83464;27/06/1979;0000;28.5;;17.22;;;
83464;27/06/1979;1200;;10.1;;;;
83464;28/06/1979;0000;27.9;;16.98;64.75;;
83464;28/06/1979;1200;;7.2;;;;
83464;29/06/1979;0000;28.5;;18.1;63;;
83464;29/06/1979;1200;;9.2;;;;
83464;30/06/1979;0000;29.1;;19.66;61;;
83464;30/06/1979;1200;;10.6;;;;
83464;02/07/1979;0000;28.9;;18.96;61;;
83464;02/07/1979;1200;;12.1;;;;
83464;03/07/1979;0000;30.5;;19.1;73.75;;
83464;03/07/1979;1200;;11.6;;;;
83464;05/07/1979;0000;30.9;;20.08;66.5;;
83464;05/07/1979;1200;;13.1;;;;
83464;06/07/1979;0000;31.3;;20.28;56;;
83464;06/07/1979;1200;;12.1;;;;
83464;07/07/1979;0000;28.9;;19.32;52.5;;
83464;07/07/1979;1200;;10.3;;;;
83464;10/07/1979;0000;27.7;;19.06;64.75;;
83464;10/07/1979;1200;;12.6;;;;
83464;11/07/1979;0000;27.7;;18.08;68.25;;
83464;11/07/1979;1200;;11.6;;;;
83464;14/07/1979;0000;28.7;;18.86;59;;
83464;14/07/1979;1200;;11.6;;;;
83464;15/07/1979;0000;29.9;;19.84;55.25;;
83464;15/07/1979;1200;;10.5;;;;
83464;17/07/1979;0000;26.7;;17.54;69.75;;
83464;17/07/1979;1200;;12.6;;;;
83464;19/07/1979;0000;28.5;;19.48;73.75;;
83464;19/07/1979;1200;;12.1;;;;
83464;23/07/1979;0000;19.3;;16.32;95;;
83464;23/07/1979;1200;;13.1;;;;
83464;24/07/1979;0000;27.7;;19.72;74;;
83464;24/07/1979;1200;;14.1;;;;
83464;25/07/1979;0000;31.4;;20.12;68;;
83464;25/07/1979;1200;;12.6;;;;
83464;26/07/1979;0000;31.9;;21.44;60.75;;
83464;26/07/1979;1200;;13.1;;;;
83464;28/07/1979;0000;31.3;;19.18;58.75;;
83464;28/07/1979;1200;;10.6;;;;
83464;29/07/1979;0000;29.3;;;;;
83464;29/07/1979;1200;;9.7;;;;
83464;30/07/1979;0000;29.9;;20.96;42.5;;
83464;30/07/1979;1200;;8.2;;;;
83464;31/07/1979;0000;30.7;;22.54;50;;
83464;31/07/1979;1200;;18;;;;
83464;02/08/1979;0000;31.9;;21.8;48.5;;
83464;02/08/1979;1200;;14.1;;;;
83464;04/08/1979;0000;31.9;;22.66;48.25;;
83464;04/08/1979;1200;;16;;;;
83464;05/08/1979;0000;32.1;;20.3;50.5;;
83464;05/08/1979;1200;;11.6;;;;
83464;08/08/1979;0000;30.5;;21.72;45.25;;
83464;08/08/1979;1200;;14.6;;;;
83464;09/08/1979;0000;31.5;;21.26;54.25;;
83464;09/08/1979;1200;;14.6;;;;
83464;12/08/1979;0000;32.5;;22.22;50.25;;
83464;12/08/1979;1200;;13.6;;;;
83464;15/08/1979;0000;34.3;;23.64;;;
83464;15/08/1979;1200;;13.1;;;;
83464;17/08/1979;0000;33.1;;23.56;;;
83464;17/08/1979;1200;;13.7;;;;
83464;19/08/1979;0000;27.1;;19.24;67;;
83464;19/08/1979;1200;;13.1;;;;
83464;21/08/1979;0000;29.6;;19.54;58.75;;
83464;21/08/1979;1200;;11.1;;;;
83464;22/08/1979;0000;31.9;;20.52;54.5;;
83464;22/08/1979;1200;;10.6;;;;
83464;25/08/1979;0000;33.1;;23.46;;;
83464;25/08/1979;1200;;13.6;;;;
83464;26/08/1979;0000;29.7;;21.58;81.5;;
83464;26/08/1979;1200;;17.5;;;;
83464;28/08/1979;0000;32.7;;23.02;59.5;;
83464;28/08/1979;1200;;13.6;;;;
83464;01/09/1979;0000;33.5;;23.88;67.5;;
83464;01/09/1979;1200;;17.4;;;;
83464;02/09/1979;0000;31.2;;23.54;84.25;;
83464;02/09/1979;1200;;19;;;;
83464;03/09/1979;0000;32.7;;23.62;71.25;;
83464;03/09/1979;1200;;19;;;;
83464;04/09/1979;0000;30.5;;21.2;84.25;;
83464;04/09/1979;1200;;16.5;;;;
83464;06/09/1979;0000;27.9;;19.38;68.75;;
83464;06/09/1979;1200;;13.4;;;;
83464;08/09/1979;0000;28.3;;22.1;73.5;;
83464;08/09/1979;1200;;18.4;;;;
83464;10/09/1979;0000;18.3;;;;;
83464;10/09/1979;1200;;16;;;;
83464;11/09/1979;0000;28.3;;20.48;;;
83464;11/09/1979;1200;;15.9;;;;
83464;13/09/1979;0000;33.5;;24.28;57.75;;
83464;13/09/1979;1200;;16.5;;;;
83464;14/09/1979;0000;27.9;;22.52;84.25;;
83464;14/09/1979;1200;;19.5;;;;
83464;15/09/1979;0000;30.3;;24.1;73;;
83464;15/09/1979;1200;;17.5;;;;
83464;17/09/1979;0000;28.5;;22.7;79.75;;
83464;17/09/1979;1200;;19;;;;
83464;18/09/1979;0000;22.7;;17.8;88.5;;
83464;18/09/1979;1200;;15.5;;;;
83464;20/09/1979;0000;27.7;;20.22;68;;
83464;20/09/1979;1200;;12.6;;;;
83464;21/09/1979;0000;33.3;;23.08;62.75;;
83464;21/09/1979;1200;;14.1;;;;
83464;22/09/1979;0000;31.1;;24.54;65.75;;
83464;22/09/1979;1200;;19;;;;
83464;23/09/1979;0000;28.5;;21.02;78.5;;
83464;23/09/1979;1200;;17;;;;
83464;24/09/1979;0000;32.6;;23.84;64.25;;
83464;24/09/1979;1200;;17;;;;
83464;26/09/1979;0000;34.1;;25.5;53.5;;
83464;26/09/1979;1200;;18;;;;
83464;27/09/1979;0000;33.7;;23.92;64;;
83464;27/09/1979;1200;;17.5;;;;
83464;28/09/1979;0000;32.9;;24.46;62.75;;
83464;28/09/1979;1200;;17;;;;
83464;29/09/1979;0000;30.7;;23.86;69.5;;
83464;29/09/1979;1200;;19;;;;
83464;30/09/1979;0000;31.5;;24.46;66.5;;
83464;30/09/1979;1200;;20;;;;
83464;02/10/1979;0000;33.5;;23.52;73.5;;
83464;02/10/1979;1200;;17.5;;;;
83464;03/10/1979;0000;30.9;;24.4;70.25;;
83464;03/10/1979;1200;;19.5;;;;
83464;04/10/1979;0000;34.3;;26.24;59.25;;
83464;04/10/1979;1200;;19.5;;;;
83464;05/10/1979;0000;34.1;;25.14;65.25;;
83464;05/10/1979;1200;;20;;;;
83464;06/10/1979;0000;34.9;;26.3;61.75;;
83464;06/10/1979;1200;;18;;;;
83464;07/10/1979;0000;33.9;;25.64;63.25;;
83464;07/10/1979;1200;;20.5;;;;
83464;08/10/1979;0000;31.9;;24.44;74.25;;
83464;08/10/1979;1200;;21.5;;;;
83464;09/10/1979;0000;30.9;;24.34;73.25;;
83464;09/10/1979;1200;;19;;;;
83464;10/10/1979;0000;33.3;;24.24;68.75;;
83464;10/10/1979;1200;;17.5;;;;
83464;11/10/1979;0000;31.5;;24.48;76.25;;
83464;11/10/1979;1200;;18.5;;;;
83464;12/10/1979;0000;31.9;;24.06;74.5;;
83464;12/10/1979;1200;;20;;;;
83464;13/10/1979;0000;32.7;;23.74;78.5;;
83464;13/10/1979;1200;;19;;;;
83464;14/10/1979;0000;26.1;;22.54;88.25;;
83464;14/10/1979;1200;;20;;;;
83464;16/10/1979;0000;25.1;;21.4;69.5;;
83464;16/10/1979;1200;;18.7;;;;
83464;17/10/1979;0000;26.5;;19.94;61.75;;
83464;17/10/1979;1200;;16;;;;
83464;18/10/1979;0000;30.3;;21.64;49;;
83464;18/10/1979;1200;;12.3;;;;
83464;19/10/1979;0000;32.3;;23.96;51.25;;
83464;19/10/1979;1200;;13.1;;;;
83464;22/10/1979;0000;33.9;;26.22;48.75;;
83464;22/10/1979;1200;;18;;;;
83464;24/10/1979;0000;34.6;;28.36;;;
83464;24/10/1979;1200;;20.2;;;;
83464;25/10/1979;0000;33.5;;27.16;;;
83464;25/10/1979;1200;;21.5;;;;
83464;26/10/1979;0000;34.1;;25.22;66.25;;
83464;26/10/1979;1200;;21;;;;
83464;28/10/1979;0000;34.1;;25.7;69.75;;
83464;28/10/1979;1200;;21;;;;
83464;29/10/1979;0000;29.9;;22.16;82.25;;
83464;29/10/1979;1200;;13.5;;;;
83464;30/10/1979;0000;34.1;;26.88;59.75;;
83464;30/10/1979;1200;;19.5;;;;
83464;31/10/1979;0000;33.3;;24.78;80.5;;
83464;31/10/1979;1200;;21;;;;
83464;01/11/1979;0000;29.5;;23.74;87.25;;
83464;01/11/1979;1200;;20;;;;
83464;02/11/1979;0000;30.4;;24.5;73.5;;
83464;02/11/1979;1200;;20.5;;;;
83464;03/11/1979;0000;26.7;;21.98;85.5;;
83464;03/11/1979;1200;;19;;;;
83464;04/11/1979;0000;31.3;;24.24;76.25;;
83464;04/11/1979;1200;;19.5;;;;
83464;06/11/1979;0000;30.7;;25.44;67;;
83464;06/11/1979;1200;;20.5;;;;
83464;07/11/1979;0000;30.9;;24.4;77.25;;
83464;07/11/1979;1200;;20.5;;;;
83464;08/11/1979;0000;30.5;;24.58;79.25;;
83464;08/11/1979;1200;;20;;;;
83464;09/11/1979;0000;31.7;;24.98;78.5;;
83464;09/11/1979;1200;;21;;;;
83464;10/11/1979;0000;24.3;;21.18;76.75;;
83464;10/11/1979;1200;;20;;;;
83464;11/11/1979;0000;25.7;;19.36;69;;
83464;11/11/1979;1200;;15.5;;;;
83464;13/11/1979;0000;31.2;;24.86;;;
83464;13/11/1979;1200;;22.5;;;;
83464;14/11/1979;0000;31.3;;24.12;73.75;;
83464;14/11/1979;1200;;17.5;;;;
83464;15/11/1979;0000;32.9;;25.52;65.75;;
83464;15/11/1979;1200;;18.5;;;;
83464;17/11/1979;0000;32.7;;25.62;53;;
83464;17/11/1979;1200;;17;;;;
83464;18/11/1979;0000;31.3;;24;75.75;;
83464;18/11/1979;1200;;19.5;;;;
83464;19/11/1979;0000;27.7;;22.16;85.25;;
83464;19/11/1979;1200;;17.5;;;;
83464;21/11/1979;0000;31.7;;25.34;70.75;;
83464;21/11/1979;1200;;20;;;;
83464;22/11/1979;0000;29.7;;23.94;79.75;;
83464;22/11/1979;1200;;21;;;;
83464;23/11/1979;0000;32.2;;24.56;72.5;;
83464;23/11/1979;1200;;19;;;;
83464;24/11/1979;0000;30.7;;24.34;80.5;;
83464;24/11/1979;1200;;20.5;;;;
83464;25/11/1979;0000;27.5;;22.4;93.75;;
83464;25/11/1979;1200;;19.7;;;;
83464;26/11/1979;0000;29.7;;20.94;70.25;;
83464;26/11/1979;1200;;18;;;;
83464;27/11/1979;0000;25.7;;18.34;65.75;;
83464;27/11/1979;1200;;11.6;;;;
83464;28/11/1979;0000;30.2;;21.02;57.25;;
83464;28/11/1979;1200;;9.7;;;;
83464;29/11/1979;0000;33.1;;24.94;67.25;;
83464;29/11/1979;1200;;15;;;;
83464;30/11/1979;0000;31.3;;22.96;79.75;;
83464;30/11/1979;1200;;13.5;;;;
83464;01/12/1979;0000;31.9;;24.1;80.25;;
83464;01/12/1979;1200;;20;;;;
83464;03/12/1979;0000;28.9;;21.78;80.25;;
83464;03/12/1979;1200;;12;;;;
83464;04/12/1979;0000;30.5;;23.74;75.75;;
83464;04/12/1979;1200;;20;;;;
83464;05/12/1979;0000;27.8;;23.5;80;;
83464;05/12/1979;1200;;18.5;;;;
83464;06/12/1979;0000;29.7;;25.3;71.75;;
83464;06/12/1979;1200;;20;;;;
83464;07/12/1979;0000;26.5;;;;;
83464;07/12/1979;1200;;20.6;;;;
83464;09/12/1979;0000;30.1;;23.46;82.5;;
83464;09/12/1979;1200;;20;;;;
83464;10/12/1979;0000;30.3;;24.78;70.25;;
83464;10/12/1979;1200;;20;;;;
83464;11/12/1979;0000;31.7;;24.66;83.75;;
83464;11/12/1979;1200;;20;;;;
83464;12/12/1979;0000;32.1;;24.34;77.5;;
83464;12/12/1979;1200;;19.8;;;;
83464;13/12/1979;0000;28.1;;22.2;86.5;;
83464;13/12/1979;1200;;15;;;;
83464;15/12/1979;0000;24.7;;;;;
83464;15/12/1979;1200;;20.5;;;;
83464;16/12/1979;0000;25.5;;22.72;82;;
83464;16/12/1979;1200;;20.5;;;;
83464;17/12/1979;0000;31.1;;23.92;75;;
83464;17/12/1979;1200;;18.5;;;;
83464;18/12/1979;0000;31.1;;23.58;86;;
83464;18/12/1979;1200;;20;;;;
83464;21/12/1979;0000;31.9;;23.86;90.25;;
83464;21/12/1979;1200;;20;;;;
83464;22/12/1979;0000;32.3;;25.22;80.5;;
83464;22/12/1979;1200;;21;;;;
83464;24/12/1979;0000;31.7;;24.36;86.5;;
83464;24/12/1979;1200;;21.3;;;;
83464;25/12/1979;0000;31.7;;24.32;86.5;;
83464;25/12/1979;1200;;20.5;;;;
83464;26/12/1979;0000;31.7;;24.6;81.75;;
